bennington,JESTER,OUTLAW,539,MAGICIAN,420,HERO,356,LOVER,450,JESTER,3489,EVERYMAN,402,CAREGIVER,1770,RULER,527,CREATOR,551,INNOCENT,452,SAGE,543,EXPLORER,584,
bentley,CREATOR,OUTLAW,523,MAGICIAN,386,HERO,436,LOVER,415,JESTER,407,EVERYMAN,325,CAREGIVER,391,RULER,383,CREATOR,526,INNOCENT,402,SAGE,510,EXPLORER,491,
berkeley,HERO,OUTLAW,569,MAGICIAN,366,HERO,812,LOVER,450,JESTER,358,EVERYMAN,371,CAREGIVER,419,RULER,431,CREATOR,513,INNOCENT,452,SAGE,401,EXPLORER,486,
berkeleycitycollege,LOVER,OUTLAW,1165,MAGICIAN,947,HERO,515,LOVER,1488,JESTER,637,EVERYMAN,1036,CAREGIVER,685,RULER,335,CREATOR,996,INNOCENT,1406,SAGE,642,EXPLORER,852,
berkshirecc,RULER,OUTLAW,256,MAGICIAN,298,HERO,198,LOVER,242,JESTER,167,EVERYMAN,394,CAREGIVER,275,RULER,623,CREATOR,182,INNOCENT,351,SAGE,231,EXPLORER,246,
berry,EVERYMAN,OUTLAW,698,MAGICIAN,1103,HERO,614,LOVER,1384,JESTER,956,EVERYMAN,1453,CAREGIVER,883,RULER,623,CREATOR,721,INNOCENT,628,SAGE,708,EXPLORER,661,
bethel,LOVER,OUTLAW,1575,MAGICIAN,2289,HERO,1624,LOVER,3425,JESTER,1769,EVERYMAN,1569,CAREGIVER,1726,RULER,623,CREATOR,1268,INNOCENT,2435,SAGE,1402,EXPLORER,1125,
bethelcollege,RULER,OUTLAW,1996,MAGICIAN,1874,HERO,752,LOVER,1488,JESTER,1073,EVERYMAN,1492,CAREGIVER,1548,RULER,2203,CREATOR,1764,INNOCENT,1255,SAGE,840,EXPLORER,2053,
bfcc,RULER,OUTLAW,349,MAGICIAN,376,HERO,317,LOVER,554,JESTER,456,EVERYMAN,533,CAREGIVER,811,RULER,1150,CREATOR,250,INNOCENT,628,SAGE,392,EXPLORER,136,
bgsu,SAGE,OUTLAW,6797,MAGICIAN,4787,HERO,9464,LOVER,4775,JESTER,5361,EVERYMAN,5024,CAREGIVER,5275,RULER,6179,CREATOR,7509,INNOCENT,4995,SAGE,12569,EXPLORER,7704,
